Optical spectroscopy readings:;
Time: 15:05:53;
Date: 5-8-2024;
Slit width: 100 microns;
Dwell time: 300 milliseconds;
Start wavelength: 4871 Angstroms;
End wavelength: 4888 Angstroms;
Increment: 0.2 Angstroms;
;
;
3,00049E+17;
Begin scan:;
;
;
4871.0;1
4871.2;2
4871.4;1
4871.6;0
4871.8;1
4872.0;1
4872.2;1
4872.4;0
4872.6;1
4872.8;1
4873.0;1
4873.2;0
4873.4;1
4873.6;0
4873.8;0
4874.0;0
4874.2;0
4874.4;0
4874.6;0
4874.8;1
4875.0;2
4875.2;0
4875.4;3
4875.6;0
4875.8;0
4876.0;0
4876.2;1
4876.4;0
4876.6;0
4876.8;0
4877.0;0
4877.2;1
4877.4;1
4877.6;0
4877.8;0
4878.0;0
4878.2;0
4878.4;0
4878.6;0
4878.8;0
4879.0;1
4879.2;0
4879.4;0
4879.6;0
4879.8;1
4880.0;0
4880.2;1
4880.4;1
4880.6;5
4880.8;21
4881.0;61
4881.2;102
4881.4;227
4881.6;338
4881.8;589
4882.0;767
4882.2;1050
4882.4;1288
4882.6;1641
4882.8;1853
4883.0;1925
4883.2;1696
4883.4;1306
4883.6;1075
4883.8;713
4884.0;445
4884.2;188
4884.4;66
4884.6;18
4884.8;2
4885.0;0
4885.2;0
4885.4;1
4885.6;0
4885.8;0
4886.0;0
4886.2;0
4886.4;0
4886.6;1
4886.8;1
4887.0;1
4887.2;0
4887.4;0
4887.6;1
4887.8;0
4888.0;1
